text,class,label,number_of_words
investment firms have pct of midway mdwy o two affiliated investment firms told the securities and exchange commission they have acquired shares of midway airlines inc or pct of the total outstanding common stock the firms boston based fmr corp and fidelity international ltd a bermuda based investment advisory firm said they bought the stake to acquire an equity interest in the company in pursuit of specified investment objectives the firms said they may increase or decrease their stake in the company but have no plans to seek control of the company or representation on its board reuter ,ac,0,98
cxr telcom corp cxrl rd qtr march net shr nil vs nil net vs revs vs nine mths shr one ct vs nil net vs revs vs reuter ,ea,2,28
electro rent corp elrc rd qtr feb net shr cts vs cts net vs revs mln vs mln nine mths shr cts vs dlrs net vs revs mln vs mln reuter ,ea,2,31
penwest inc penw o rd qtr may net shr dlrs vs cts net vs sales mln vs mln avg shrs vs nine mths shr dlrs vs cts net vs sales mln vs mln avg shrs vs reuter ,ea,2,37
vornado inc vno th qtr jan net oper shr dlrs vs cts oper net vs revs mln vs mln avg shrs vs year oper shr dlrs vs dlrs oper net mln vs mln revs mln vs mln avg shrs vs note operating net excludes gains of nothing vs dlrs or cts a share in quarter and dlrs or cts a share vs dlrs or dlrs a share in year from tax loss carryforwards reuter ,ea,2,74
u s commerce dept opposes foreign takeover ban commerce undersecretary j michael farren opposed language in the trade bill before congress to limit foreign takeovers of u s companies anything that would serve to have a chilling effect on foreign investment is going to cost us jobs and economic growth farren said before a congressional coittee house and senate negotiators are ironing out differences in trade bills passed by both chambers once the negotiators reach agreement the bill will be sent to president reagan for his signature reuter ,ac,0,88
baybanks inc bbnk st qtr net oper shr dlrs vs cts oper shr diluted dlrs vs cts oper net mln vs mln avg shrs mln vs mln avg shrs mln vs mln note net excludes gain dlrs from cumulative effect of change in calculating depreciation expense reuter ,ea,2,47
entertainment marketing seeks to buy crazy eddie for eight dlrs a share ,ac,0,12
idc services idcs o holders offered dlrs idc services inc said a new company will begin a cash tender offer by october to acquire all of idc s outstanding common for dlrs a share the company said the offer is being made under a definitive agreement reached with the new company idc acquisition corp formed by apollo partners ltd and investment clients of equitable capital management inc the agreement calls for the acquisition of idc for about mln dlrs idc acquisition will also tender for all of idc s outstanding nine pct convertible subordinated debentures idc said the merger agreement also provides for payment of an equivalent amount in respect of employee stock options to be cancelled in the merger as part of the transaction the company said it granted idc acquisition an option to acquire up to pct of the company s outstanding shares for dlrs per share it said the planned tender offer is subject to several conditions including the tendering of over pct of the company s outstanding stock mim holdings ltd mima s a substantial shareholder in idc has agreed it will not buy any additional idc shares until february seven and has granted idc acquisition a right of first refusal on any idc shares it sells during that period the company said it said apollo partners was recently organized by three former senior viacom inc via executives terrence a elkes george c catell and kenneth f gorman reuter ,ac,0,243
bank of new england corp bkne o st qtr shr dlrs vs cts net mln vs mln reuter ,ea,2,18
electrohome el x to to sell unit electrohome ltd said it agreed to sell certain assets of the computer service sector of its aabex service division to canadian general electric co ltd cge to terms were not disclosed the closing date is expected to be may reuter ,ac,0,47
reagan urges fulfillment of exchange accords president reagan preparing to depart for the venice economic summit on wednesday said the united states and its allies must fulfill agreements on exchange rate stability economic policy decisions made last year in tokyo and at this year s meetings of group of finance ministers in paris and in washington cannot be ignored or forgotten he said the commitments made at these meetings need to be translated into action reagan said in a pre summit speech celebrating the th anniversary of the marshall plan reuter ,mo,4,91
lvi group lvi to make acquisition lvi group inc said it has agreed in principle to purchase all outstanding shares of spectrum holding corp for a proposed mln dlrs in cash lvi said an additional mln dlrs in common stock and seven mln dlrs in notes will become payable if spectrum has certain minimum future earnings lvi an interior construction firm said the acquisition is subject to execution of a definitive agreement and completion of due diligence lvi and spectrum an asbestos abatement concern expect to close the deal in june lvi said reuter ,ac,0,94
voplex corp vot rd qtr loss shr loss cts vs loss cts net loss vs loss revs mln vs mln nine mths shr profit six cts vs loss cts net profit vs loss revs mln vs mln reuter ,ea,2,38
international business machines corp ibm net st qtr shr dlrs vs dlrs net mln vs billion gross income billion vs billion avg shrs mln vs mln note pretax net billion vs billion sales billion vs billion maintenance gross income billion vs billion program products gross income billion vs billion and rentals and other services mln vs billion reuter ,ea,2,58
general electric ge to buy kraft kra unit general electric co s ge credit corp said it agreed to buy all of the capital stock of kraft inc s wholly owned subsidiary d and k financial corp terms of the acquisition were not disclosed d and k with assets of more than one billion dlrs is one of the leading u s companies involved in the leasing of fleets of cars according to ge credit jim ahtes a spokesman for ge credit s outside public relations firm manning selvage and lee inc emphasized that the terms of the acquisition had not yet been approved reuter ,ac,0,105
service corp srv dumps capital southwest stake service corp international said its investment capital corp unit sold its entire pct stake in capital southwest corp cswc o common stock and no longer holds any capital southwest shares in a filing with the securities and exchange commission investment capital said it sold shares of capital southwest common stock since september at dlrs to dlrs a share no reason was given for the recent sales reuter ,ac,0,74
the banking center tbcx o rd qtr net shr cts net vs nine months shr cts net mln vs assets billion vs billion deposits mln vs mln note company converted to a stock savings bank on aug results include operations of realtech realtors which was acquired in results include operations of burgdorff realtors acquired in december cornerstone mortgage co acquired in july centerbank mortgage co acquired in july and center capital corp formed in august reuter ,ea,2,76
public service enterprise peg rd qtr net shr cts vs cts net mln vs mln revs one billion vs billion avg shrs vs nine months shr dlrs vs dlrs net mln vs mln revs billion vs billion avg shrs vs months shr dlrs vs dlrs net mln vs mln revs billion vs billion avg shrs vs note full name public service enterprise group inc all results reflect three for two stock split effective july reuter ,ea,2,75
walgreen co wag votes quarterly dividend qtly div cts vs cts prior qtr pay june record may reuter ,ea,2,18
aquino says manila watching interest rates closely president corazon aquino said the philippines was closely monitoring interest rates in the wake of monday s record drop on wall street and steep declines in manila and other asian stock markets we will monitor these developments closely and will continue to hope that they do not precipitate large declines in economic activity around the world aquino told a meeting of major philippine business groups the philippines as a trading country in the world economy depends on the continued health and growth of both the world economy and the world trading system she said the manila stock exchange composite index plunged points or pct by the midday close to depressed by the record point fall of the dow jones industrial average on monday the philippines in addition as a large borrower nation is affected by developments in interest rate levels around the world and will carefully monitor the impact of these developments on interest rates on gold and on commodity prices aquino said we welcome the statements from world leaders that urge calm in the present difficult situation she added reuter ,in,5,188
trafalgar house buys u s builder for mln dlrs trafalgar house plc traf l said it has acquired the entire share capital of capital homes inc of the u s for mln dlrs in cash capital homes builds single family homes in the washington d c area and is also active as a land developer both for its own use and for sale to other builders in the financial year to end february capital recorded pre tax profits of mln dlrs on a turnover of mln dlrs from the sale of homes capital has a land bank of some units and in the current year the company expects to sell homes trafalgar house said reuter ,ac,0,115
hong kong s dairy farm says it bids for pct of kwik save for mln stg ,ac,0,16
roto rooter inc roto o rd qtr net shr cts vs cts net vs revs mln vs mln nine mths shr cts vs cts net vs revs mln vs mln reuter ,ea,2,31
allwaste inc alws o nd qtr feb shr profit four cts vs loss one cts net profit vs loss revs mln vs six months shr profit nine cts vs loss four cts net profit vs loss revs mln vs mln avg shrs mln vs mln reuter ,ea,2,46
marsh and mclennan cos inc mmc rd qtr net shr dlrs vs cts net mln vs mln revs mln vs mln avg shrs mln vs mln nine mths shr dlrs vs dlrs net mln vs mln revs billion vs billion avg shrs mln vs mln reuter ,ea,2,46
investor group dumps silicon slcn o stake a group of boston investors and investment partnerships told the securities and exchange commission it sold its entire stake in silicon systems inc of shares or pct of the total outstanding the group which includes hlm associates hlm associates ii and their three general partners said it sold the stock between april and june at to dlrs a share as the result of an investment decision reuter ,ac,0,74
mcdonnell douglas md buys computer firm mcdonnell douglas corp said it acquired frampton computer services ltd a british software company that is also known as isis terms of the acquisition were not disclosed based in bristol england isis employs workers and has annual revenues of about five mln dlrs mcdonnell douglas said the company added that isis will operate as part of mcdonnell douglas information systems international reuter ,ac,0,68
c and r clothiers inc jan year net shr dlrs vs cts net vs sales mln vs mln reuter ,ea,2,19
group ups stake in tandy brands tab to pct a group of companies including chicago based coronet insurance co and sunstates corp a jacksonville fla real estate firm said it raised its stake in tandy brands inc to shares or pct of the total in a filing with the securities and exchange commission the group said it bought tandy common shares between may and june for dlrs in addition to the shares or pct it had held previously reuter ,ac,0,79
u s west usw rd qtr net shr dlrs vs dlrs net mln vs mln dlrs revs billion vs billion nine mths shr dlrs vs dlrs net mln vs mln revs billion vs billion reuter ,ea,2,35
french week t bill average rate rises to pct from pct official ,in,5,12
nodaway valley co nvco o st qtr net qtr ended april shr seven cts vs cts net vs revs vs reuter ,ea,2,21
westport bancorp webat o rd qtr net shr cts vs cts net vs nine mths shr cts vs dlrs net vs note company would not provide assets deposits and loans figures reuter ,ea,2,32
court declines to block viacom via merger viacom international inc said the u s district court for the southern district of new york denied the motion of carsey werner co for a temporary injunction to block the proposed merger of viacom with a subsidiary of national amusements inc carsey werner is the producer of the cosby show reuter ,ac,0,58
chemical waste management inc chw rd qtr net shr cts vs cts net vs revs mln vs mln nine mths shr cts vs cts net vs revs mln vs mln reuter ,ea,2,31
j p morgan and co inc jpm st qtr net shr dlrs vs dlrs net mln vs mln assets billion vs billion loans billion vs billion deposits billion vs billion return on assets pct vs pct return on common equity pct vs pct note qtr net was reduced by mln dlrs because billion dlrs of loans to brazil were placed on non accrual loan loss provision mln dlrs vs mln year earlier reuter ,ea,2,73
centel cnt completes acquisition centel corp said it completed the acquisition of welbac cable television corp which serves more than cable television subscribers in east central michigan terms were not disclosed with the addition of welbac customers centel cable television co of michigan serves more than customers overall centel has nearly customers in seven states reuter ,ac,0,56
wall and redekop corp wrk to three mths net shr five cts vs one ct net vs revs mln vs mln note period ended april reuter ,ea,2,26
saudi rates rise as bahrain banks caught short saudi riyal interest rates rose as bahrain based banks scrambled to cover short positions dealers said several bahrain banks had been lending in the fixed periods and borrowing in the short dates but today they found the day to day money in short supply dealers said everybody s stuck in the spot next one trader said spot next rose to as high as six pct from five pct yesterday and the borrowing interest spilled over into the periods with one month rising to around pct from pct yesterday three months edged up to around pct from pct while six months was quoted a touch firmer by some banks at seven pct commercial banks quoted the spot riyal at to the dollar after yesterday reuter ,in,5,132
edelman group committed to telex tc bid tlx partners a group led by asher edelman does not see any problems with its dlr per share bid for telex corp a shearson lehman official advising the group said several other takeover proposals have crumbled following declines in financial markets leading to speculation that edelman might also drop his offer telex fell to earlier today carl icahn dropped his bid to take trans world airlines inc twa private and dart group corp darta o said it abandoned plans to acquire dayton hudson corp dh both cited market conditions nothing fundamental has changed with the company the stock price has changed but the company hasn t changed so there s no reason for us to change said daniel good head of shearson lehman merchant banking things are proceeding as planned and we fully expect that at the time we have to pay for the shares the financing will be in place good said shearson has agreed to provide bridge financing of up to mln dlrs for the edelman group reuter ,ac,0,177
trump plaza th qtr net net profit vs loss revs mln vs mln year net profit mln vs profit revs mln vs mln note company became wholly owned and operated by donald trump in may when he acquired pct interest that had been owned by former operator holiday corp hia reuter ,ea,2,51
three d departments inc tdd sets payout class a qtly div cts vs cts prior class b qtly div cts vs cts prior pay may record april reuter ,ea,2,28
yellow freight system yell o rd qtr net shr cts vs cts qtly div cts vs cts prior net mln vs mln revs mln vs mln nine mths shr dlrs vs dlrs net mln vs mln revs billion vs billion note full name is yellow freight system inc dividend is payable november record november reuter ,ea,2,55
isc systems iscs o rd qtr march net shr seven cts vs cts net vs revs mln vs mln nine mths shr cts vs cts net vs revs mln vs mln reuter ,ea,2,32
southwest bancorp swb rd qtr loss oper shr loss cts vs profit cts oper net loss vs profit avg shrs vs nine mths oper shr loss cts vs profit cts oper net loss vs profit avg shrs vs note net excludes tax loss carryforwards of dlrs in quarter and dlrs in nine mths quarter net includes dlr tax credit net both periods includes dlr addition to loan loss reserves due mostly to one out of state real estate transaction reuter ,ea,2,80
toshiba corp tsba t year ended march group shr yen vs net billion vs billion pretax billion vs billion operating billion vs billion sales billion vs billion reuter ,ea,2,28
qms inc aqm th qtr oct net shr cts vs cts net vs revs mln vs mln avg shrs vs year shr cts vs cts net vs revs mln vs mln avg shrs vs reuter ,ea,2,35
becor western bcw again adjourns holder meeting becor western inc said its reconvened shareholders meeting has been adjourned to cdt june the company had previously announced plans to again adjourn the meeting following receipt of a renewed offer from lynch corp lgl yesterday the meeting was originally convened on june four when shareholders approved the sale of becor s western gear corp subsidiary before adjourning the remaining matter to be presented is the proposed acquisition of becor by bcw acquisition inc now one of four offers for the company reuter ,ac,0,90
poco petroleums ltd poc to nd qtr net period ended april shr not given net vs revs mln vs mln six mths shr cts vs cts net vs revs mln vs mln reuter ,ea,2,33
new zealand will continue firm monetary policy the reserve bank of new zealand said there was no evidence to suggest the fall in share prices had affected financial stability and it would maintain its firm monetary policy governor spencer russell said in a statement the central bank did not accept arguments that the battle against inflation should now take a low second priority after the sharemarket s plunge russell said the bank had two statutory responsibilities to implement the government s monetary policy to bring down inflation and to ensure the financial sector s stability unless the bank is directed otherwise the firm monetary policy will continue because it is very much in the national interest that it do so he said and there is yet no evidence available to the bank to suggest that the fall in share prices has affected the stability of the financial sector the barclays share index fell a record points to on tuesday a decline of pct reuter ,mo,4,164
monolithic memories inc mmic o rd qtr net qtr ended june shr six cts vs cts net vs sales mln vs mln nine mths shr cts vs cts net vs sales mln vs mln reuter ,ea,2,35
balladur urges g to respect louvre accord french finance minister edouard balladur said the group of seven g industrial countries should respect pledges on monetary policy made in the february louvre accord on currency stability we have to strengthen the cooperation between the seven major industrial countries and remind ourselves of the pledges we made at the louvre he told journalists they were not simply pledges to maintain currency stability but also to conduct a certain type of economic and monetary policy he added reuter ,mo,4,85
